team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Sudan National Team,Sudan,2025,Sudan,4,1,3,0,1,0,1,1,0,1,2,1,1,1,0,1.33,4,0,0,11,3,6,-3,9,2,7,0,3,2,4,-2,-1,120,0,90,60,45,68,1,0,1,2,0,2,2,1,1,0,0,0,15,3,12,8,2,6,69,49,79,27,12,15,4,1,3,23,11,12,38,14,24,1,0,1,2,0,2,-1,0,-1,0,0,0,3,1,2,1,0,1,0.75,1,0.67,2.25,2,2.33,0.75,0,1,1.5,2,1.33,0.75,0,1,0.25,0,0.33,0.5,0,0.67,3,3,2,1,0,0,1,1,0,0,0,0,2,2,2,1,0,0,1,1,2,3,4,4,0,0,1,1,1,1,1,1,1,2,3,3,75,75,50,25,0,0,100,100,0,0,0,0,67,67,67,33,0,0,25,25,50,75,100,100,0,0,100,100,100,100,33,33,33,67,100,100,2,1,0,0,0,0,2,1,0,50,25,0,0,0,0,67,33,0,25,0,33,-67,25,0,33,50,0,67,50,100,33,0,0,0,2,1,1,50,100,33,3,1,2,75,100,67,1,0,1,25,0,33,0,0,0,75,100,67,25,0,33,3.75,3.00,4.00,2,2,2.00,75,75,75,25,25,0,0,0,0.95,0.99,0.93,1.02,1.16,0.96,75,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,1,3,25,0,33,50,100,33,0
Djibouti National Team,Djibouti,2025,Djibouti,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,22,0,1,-1,1,0,1,0,0,0,1,0,-1,0,0,0,90,0,90,0,0,0,0,0,0,1,0,1,0,0,0,3,0,3,0,0,0,38,0,38,3,0,3,2,0,2,1,0,1,13,0,13,0,0,0,1,0,1,-1,0,-1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,100,100,100,100,100,1,0,0,0,0,0,1,0,0,100,0,0,0,0,0,100,0,0,0,0,0,50,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,1,0,1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,3.00,0.00,3.00,0,0,0.00,100,100,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,100,0
South Sudan National Team,South Sudan,2025,South Sudan,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,23,0,2,-2,2,0,2,0,0,0,2,0,-2,0,0,0,45,0,45,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,4,0,4,42,0,42,8,0,8,2,0,2,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,100,0,100,0,0,0,1,0,1,100,0,100,1,0,1,100,0,100,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,1.00,0.00,1.00,4,0,4.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,100,0,100,0
Somalia National Team,Somalia,2025,Somalia,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,9,0,9,1,0,1,38,0,38,4,0,4,2,0,2,2,0,2,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,100,0,100,0,0,0,1,0,1,100,0,100,1,0,1,100,0,100,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,9.00,0.00,9.00,1,0,1.00,100,100,100,100,100,100,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0
Jordan National Team,Jordan,2025,Jordan,6,3,3,0,5,2,3,0,0,0,1,1,0,2.5,2,3,1,0,0,2,12,5,7,17,9,8,5,7,4,1,1,6,45,54,39,108,68,273,3,1,2,3,2,1,0,0,0,5,2,3,26,8,18,4,4,0,39,41,37,74,30,44,29,12,17,45,18,27,75,45,30,5,2,3,1,1,0,4,1,3,4,2,2,1,0,1,1,1,0,2.17,2,2.33,2.83,3,2.67,2,1.67,2.33,0.83,1.33,0.33,1,1,1,0.83,0.67,1,0.17,0.33,0,6,4,4,2,1,0,3,2,2,1,1,0,3,2,2,1,0,0,0,2,2,4,5,6,0,1,1,2,2,3,0,1,1,2,3,3,100,67,67,33,17,0,100,67,67,33,33,0,100,67,67,33,0,0,0,33,33,67,83,100,0,33,33,67,67,100,0,33,33,67,100,100,5,1,0,3,0,0,2,1,0,83,17,0,100,0,0,67,33,0,83,67,100,-39,50,33,67,50,67,33,0,0,0,83,67,100,5,2,3,83,67,100,2,1,1,33,33,33,0,0,0,0,0,0,67,67,67,17,0,33,17,33,0,4.33,2.67,6.00,0.67,1.33,0.00,83,83,67,67,50,33,17,17,1.47,1.30,1.58,1.36,1.49,1.27,50,0,3,0,0,4,0,3,0,2,1,0,0,0,1,0,0,0,2,0,0,0,17,33,0,0
Saudi Arabia National Team,Saudi Arabia,2025,Saudi Arabia,6,3,3,0,3,1,2,1,1,0,2,1,1,1.67,1.33,2,2,0,0,3,7,5,2,12,4,8,2,5,2,3,0,2,77,134,54,108,134,90,1,1,0,3,1,2,3,2,1,2,1,1,34,11,23,7,4,3,64,64,64,70,25,45,17,8,9,53,17,36,54,31,23,1,0,1,1,0,1,0,0,0,1,0,1,4,3,1,1,0,1,1.17,1,1.33,2,1.33,2.67,1.17,0.67,1.67,0.83,0.67,1,0.33,0,0.67,0.17,0,0.33,0.17,0,0.33,5,3,3,1,0,0,2,1,1,0,0,0,3,2,2,1,0,0,1,3,3,5,6,6,1,2,2,3,3,3,0,1,1,2,3,3,83,50,50,17,0,0,67,33,33,0,0,0,100,67,67,33,0,0,17,50,50,83,100,100,33,67,67,100,100,100,0,33,33,67,100,100,2,0,0,0,0,0,2,0,0,33,0,0,0,0,0,67,0,0,50,33,67,-12,17,33,0,50,33,67,50,67,33,33,33,33,5,3,2,83,100,67,5,3,2,83,100,67,0,0,0,0,0,0,17,0,33,67,100,33,17,0,33,5.67,3.67,7.67,1.17,1.33,1.00,83,67,33,33,33,17,0,0,1.26,1.07,1.55,0.69,0.70,0.68,33,0,0,0,0,1,3,0,2,0,0,1,0,0,0,0,4,0,0,17,33,0,33,33,33,0
Qatar National Team,Qatar,2025,Qatar,3,2,1,0,0,0,0,1,0,1,2,2,0,0.33,0,1,4,0,0,18,1,5,-4,6,4,2,0,1,4,1,-4,0,273,0,90,54,45,90,0,0,0,1,0,1,2,2,0,1,0,1,23,16,7,2,0,2,61,62,61,39,22,17,12,7,5,27,15,12,21,10,11,0,0,0,1,1,0,-1,-1,0,0,0,0,2,1,1,1,1,0,0.67,0.5,1,2,2,2,0.33,0,1,1.67,2,1,0.33,0.5,0,0,0,0,0.33,0.5,0,3,2,1,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0,0,1,2,3,3,3,0,1,1,2,2,2,0,0,1,1,1,1,100,67,33,0,0,0,100,50,50,0,0,0,100,100,0,0,0,0,0,33,67,100,100,100,0,50,50,100,100,100,0,0,100,100,100,100,1,0,0,1,0,0,0,0,0,33,0,0,50,0,0,0,0,0,0,0,0,-60,0,0,0,33,0,100,67,100,0,33,0,100,2,1,1,67,50,100,3,2,1,100,100,100,0,0,0,0,0,0,0,0,0,67,50,100,33,50,0,7.67,8.00,7.00,0.67,0,2.00,100,100,100,67,67,33,33,33,1.48,1.26,1.94,1.03,1.20,0.69,33,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,33,0,100,67,100,0,0
Iraq National Team,Iraq,2025,Iraq,4,1,3,0,2,1,1,0,0,0,2,0,2,1.5,3,1,2,0,0,7,4,4,0,8,3,5,2,2,1,3,1,-1,90,45,134,90,90,90,1,0,1,1,1,0,2,0,2,2,1,1,17,1,16,8,4,4,49,43,51,45,10,35,10,5,5,35,5,30,40,15,25,2,2,0,2,0,2,0,2,-2,1,1,0,1,0,1,2,0,2,1,3,0.33,2,3,1.67,1,2,0.67,1,1,1,1,2,0.67,0.5,2,0,0.5,0,0.67,4,3,1,0,0,0,1,1,1,0,0,0,3,2,0,0,0,0,0,1,3,4,4,4,0,0,0,1,1,1,0,1,3,3,3,3,100,75,25,0,0,0,100,100,100,0,0,0,100,67,0,0,0,0,0,25,75,100,100,100,0,0,0,100,100,100,0,33,100,100,100,100,3,1,0,1,1,0,2,0,0,75,25,0,100,100,0,67,0,0,50,100,33,0,25,0,33,25,100,0,50,0,67,50,100,33,2,1,1,50,100,33,3,0,3,75,0,100,0,0,0,0,0,0,25,100,0,25,0,33,50,0,67,4.25,1.00,5.33,2,4,1.33,75,25,25,25,25,25,25,25,1.00,1.27,0.87,1.27,1.06,1.39,25,1,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,50,0,67,0
United Arab Emirates National Team,United Arab Emirates,2025,United Arab Emirates,6,2,4,0,1,1,0,3,1,2,2,0,2,1,2,0.5,2,0,0,8,6,8,-2,14,6,8,4,2,2,6,2,-4,90,45,180,68,90,60,1,0,1,4,2,2,2,0,2,2,2,0,20,5,15,10,3,7,46,46,46,46,17,29,13,7,6,33,10,23,88,35,53,2,2,0,2,0,2,0,2,-2,1,1,0,3,1,2,2,0,2,1,2,0.5,2.33,3,2,1,2,0.5,1.33,1,1.5,0.67,1,0.5,0.33,1,0,0.33,0,0.5,5,5,3,1,0,0,2,2,1,1,0,0,3,3,2,0,0,0,1,1,3,5,6,6,0,0,1,1,2,2,1,1,2,4,4,4,83,83,50,17,0,0,100,100,50,50,0,0,75,75,50,0,0,0,17,17,50,83,100,100,0,0,50,50,100,100,25,25,50,100,100,100,3,1,0,1,1,0,2,0,0,50,17,0,50,50,0,50,0,0,17,50,0,63,17,0,25,67,100,50,33,0,50,33,100,0,4,2,2,67,100,50,5,1,4,83,50,100,0,0,0,0,0,0,17,50,0,50,50,50,33,0,50,3.33,2.50,3.75,1.67,1.5,1.75,33,17,17,0,0,0,0,0,0.92,1.08,0.85,1.00,0.87,1.06,67,0,2,0,0,1,1,2,0,0,0,1,1,0,1,1,1,0,3,50,50,50,33,0,50,0
Algeria National Team,Algeria,2025,Algeria,4,3,1,0,2,1,1,2,2,0,0,0,0,2,1.67,3,1,0,0,4,8,2,6,10,4,6,3,5,1,1,2,4,45,90,18,180,273,90,2,2,0,2,1,1,1,1,0,3,2,1,18,12,6,8,7,1,58,56,62,38,27,11,14,9,5,24,18,6,61,49,12,4,1,3,1,0,1,3,1,2,2,1,1,2,2,0,0,0,0,2,1.67,3,2.5,1.33,6,2,1,5,0.5,0.33,1,1.25,0.33,4,1,0.33,3,0.25,0,1,3,3,1,1,1,1,2,2,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3,3,1,1,3,3,3,3,0,0,0,0,0,0,75,75,25,25,25,25,67,67,0,0,0,0,100,100,100,100,100,100,25,25,75,75,75,75,33,33,100,100,100,100,0,0,0,0,0,0,2,1,1,1,0,0,1,1,1,50,25,25,33,0,0,100,100,100,50,33,100,-8,50,67,0,50,33,100,25,33,0,75,67,100,3,3,0,75,100,0,2,2,0,50,67,0,1,0,1,25,0,100,50,33,100,50,67,0,0,0,0,4.50,4.00,6.00,2,2.33,1.00,100,50,25,0,0,0,0,0,1.19,1.15,1.31,0.79,0.84,0.61,50,0,0,2,0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,50,67,0,0,0,0,0
Morocco National Team,Morocco,2025,Morocco,6,4,2,0,5,4,1,1,0,1,0,0,0,2.67,3,2,1,0,0,1,11,3,8,14,9,5,8,3,1,2,7,1,49,45,60,180,360,90,4,3,1,2,1,1,1,0,1,5,4,1,37,18,19,12,8,4,51,49,55,76,47,29,25,15,10,51,32,19,67,41,26,6,5,1,0,0,0,6,5,1,4,3,1,2,1,1,0,0,0,2.33,2.5,2,2.33,2.25,2.5,1.83,2,1.5,0.5,0.25,1,1,1.25,0.5,1,1.25,0.5,0,0,0,5,3,3,2,1,0,4,2,2,1,0,0,1,1,1,1,1,0,1,3,3,4,5,6,0,2,2,3,4,4,1,1,1,1,1,2,83,50,50,33,17,0,100,50,50,25,0,0,50,50,50,50,50,0,17,50,50,67,83,100,0,50,50,75,100,100,50,50,50,50,50,100,4,1,1,3,1,1,1,0,0,67,17,17,75,25,25,50,0,0,83,100,50,30,67,75,50,33,25,50,17,0,50,83,100,50,6,4,2,100,100,100,2,1,1,33,25,50,0,0,0,0,0,0,67,75,50,33,25,50,0,0,0,6.17,4.50,9.50,2,2,2.00,100,100,83,67,50,17,0,0,1.31,1.10,1.63,1.13,1.20,1.02,50,2,2,1,0,1,0,0,1,3,0,0,0,0,1,1,1,0,0,17,0,50,0,0,0,0
Egypt National Team,Egypt,2025,Egypt,3,2,1,0,0,0,0,2,1,1,1,1,0,0.67,0.5,1,3,0,0,14,2,5,-3,7,5,2,1,1,4,1,-3,0,134,180,90,54,45,90,0,0,0,2,1,1,1,1,0,0,0,0,17,14,3,8,5,3,64,66,60,45,39,6,15,13,2,30,26,4,35,17,18,0,0,0,2,2,0,-2,-2,0,0,0,0,2,1,1,1,1,0,0.67,0.5,1,2.33,2.5,2,0.67,0.5,1,1.67,2,1,0.67,1,0,0,0,0,0.67,1,0,3,3,1,0,0,0,2,2,1,0,0,0,1,1,0,0,0,0,0,0,2,3,3,3,0,0,1,2,2,2,0,0,1,1,1,1,100,100,33,0,0,0,100,100,50,0,0,0,100,100,0,0,0,0,0,0,67,100,100,100,0,0,50,100,100,100,0,0,100,100,100,100,1,1,0,1,1,0,0,0,0,33,33,0,50,50,0,0,0,0,0,0,0,-23,0,0,0,67,50,100,33,50,0,0,0,0,2,1,1,67,50,100,3,2,1,100,100,100,0,0,0,0,0,0,0,0,0,67,50,100,33,50,0,5.67,7.00,3.00,2.67,2.5,3.00,67,67,67,67,33,33,0,0,1.85,2.34,0.86,1.09,1.19,0.90,33,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,1,0,1,67,50,100,33,50,0,0
Tunisia National Team,Tunisia,2025,Tunisia,3,1,2,0,1,0,1,1,0,1,1,1,0,1.33,0,2,3,0,0,12,5,3,2,8,1,7,0,5,1,2,-1,3,54,0,36,90,90,90,1,0,1,1,0,1,1,1,0,2,0,2,16,7,9,5,2,3,55,69,48,40,16,24,18,4,14,22,12,10,43,12,31,2,0,2,0,0,0,2,0,2,2,0,2,1,1,0,0,0,0,2.33,1,3,2.67,1,3.5,1.67,0,2.5,1,1,1,0.67,0,1,0.67,0,1,0,0,0,3,2,2,1,0,0,1,0,0,0,0,0,2,2,2,1,0,0,0,1,1,2,3,3,0,1,1,1,1,1,0,0,0,1,2,2,100,67,67,33,0,0,100,0,0,0,0,0,100,100,100,50,0,0,0,33,33,67,100,100,0,100,100,100,100,100,0,0,0,50,100,100,2,0,0,0,0,0,2,0,0,67,0,0,0,0,0,100,0,0,33,0,50,0,33,0,50,33,0,50,33,100,0,67,0,100,3,1,2,100,100,100,1,1,0,33,100,0,0,0,0,0,0,0,67,0,100,33,100,0,0,0,0,5.33,7.00,4.50,1.67,2,1.50,100,100,67,67,33,33,33,33,0.99,0.00,1.49,0.79,0.00,1.29,33,0,2,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,33,0,50,33,100,0,0
